File,Line,Link Type,URL/Path,Status,Notes
frontend/src/components/Footer.js,50,External Link,https://facebook.com/agroisync,EXTERNAL,Social media link
frontend/src/components/Footer.js,59,External Link,https://twitter.com/agroisync,EXTERNAL,Social media link
frontend/src/components/Footer.js,68,External Link,https://instagram.com/agroisync,EXTERNAL,Social media link
frontend/src/components/Footer.js,77,External Link,https://linkedin.com/company/agroisync,EXTERNAL,Social media link
frontend/src/components/Footer.js,98,Internal Link,/,OK,Home page
frontend/src/components/Footer.js,103,Internal Link,/sobre,OK,About page
frontend/src/components/Footer.js,108,Internal Link,/loja,OK,Store page
frontend/src/components/Footer.js,113,Internal Link,/agroconecta,OK,AgroConecta page
frontend/src/components/Footer.js,118,Internal Link,/planos,OK,Plans page
frontend/src/components/Footer.js,134,Internal Link,/contato,OK,Contact page
frontend/src/components/Footer.js,139,Internal Link,/faq,OK,FAQ page
frontend/src/components/Footer.js,144,Internal Link,/ajuda,OK,Help page
frontend/src/components/Navbar.js,56,Internal Link,/,OK,Home page
frontend/src/components/Navbar.js,84,Internal Link,/,OK,Home page
frontend/src/components/Navbar.js,90,Internal Link,/loja,OK,Store page
frontend/src/components/Navbar.js,96,Internal Link,/agroconecta,OK,AgroConecta page
frontend/src/components/Navbar.js,102,Internal Link,/sobre,OK,About page
frontend/src/components/Navbar.js,108,Internal Link,/contato,OK,Contact page
frontend/src/components/Navbar.js,118,Internal Link,/cripto,OK,Crypto page
frontend/src/components/Navbar.js,194,Internal Link,/dashboard,OK,Dashboard page
frontend/src/components/Navbar.js,212,Internal Link,/painel-usuario,OK,User panel page
frontend/src/components/Navbar.js,234,Internal Link,/login,OK,Login page
frontend/src/components/Navbar.js,240,Internal Link,/cadastro,OK,Register page
frontend/src/components/Navbar.js,271,Internal Link,/,OK,Home page (mobile)
frontend/src/components/Navbar.js,277,Internal Link,/loja,OK,Store page (mobile)
frontend/src/components/Navbar.js,283,Internal Link,/agroconecta,OK,AgroConecta page (mobile)
frontend/src/components/Navbar.js,289,Internal Link,/cripto,OK,Crypto page (mobile)
frontend/src/components/Navbar.js,295,Internal Link,/sobre,OK,About page (mobile)
frontend/src/components/Navbar.js,301,Internal Link,/contato,OK,Contact page (mobile)
frontend/src/components/Navbar.js,307,Internal Link,/planos,OK,Plans page (mobile)
frontend/src/components/Navbar.js,315,Internal Link,/dashboard,OK,Dashboard page (mobile)
frontend/src/components/Navbar.js,321,Internal Link,/login,OK,Login page (mobile)
frontend/src/components/Navbar.js,327,Internal Link,/cadastro,OK,Register page (mobile)
frontend/src/App.js,78,Route Definition,/,OK,Home route
frontend/src/App.js,79,Route Definition,/login,OK,Login route
frontend/src/App.js,80,Route Definition,/cadastro,OK,Register route
frontend/src/App.js,81,Route Definition,/sobre,OK,About route
frontend/src/App.js,82,Route Definition,/parcerias,OK,Partnerships route
frontend/src/App.js,83,Route Definition,/contato,OK,Contact route
frontend/src/App.js,84,Route Definition,/faq,OK,FAQ route
frontend/src/App.js,85,Route Definition,/termos,OK,Terms route
frontend/src/App.js,86,Route Definition,/privacidade,OK,Privacy route
frontend/src/App.js,87,Route Definition,/lgpd,OK,LGPD route
frontend/src/App.js,88,Route Definition,/cookies,OK,Cookies route
frontend/src/App.js,89,Route Definition,/ajuda,OK,Help route
frontend/src/App.js,90,Route Definition,/planos,OK,Plans route
frontend/src/App.js,91,Route Definition,/payment-success,OK,Payment success route
frontend/src/App.js,92,Route Definition,/payment-cancel,OK,Payment cancel route
frontend/src/App.js,93,Route Definition,/agroconecta,OK,AgroConecta route
frontend/src/App.js,94,Route Definition,/cripto,OK,Cripto route
frontend/src/App.js,95,Route Definition,/crypto,OK,Crypto route
frontend/src/App.js,96,Route Definition,/cotacao,OK,Quotation route
frontend/src/App.js,97,Route Definition,/status,OK,Status route
frontend/src/App.js,98,Route Definition,/commodities,OK,Commodities route
frontend/src/App.js,99,Route Definition,/grains-dashboard,OK,Grains dashboard route
frontend/src/App.js,100,Route Definition,/ibge-data,OK,IBGE data route
frontend/src/App.js,101,Route Definition,/receita,OK,Receita route
frontend/src/App.js,102,Route Definition,/global,OK,Global route
frontend/src/App.js,103,Route Definition,/forgot-password,OK,Forgot password route
frontend/src/App.js,104,Route Definition,/reset-password,OK,Reset password route
frontend/src/App.js,105,Route Definition,/otp-verification,OK,OTP verification route
frontend/src/App.js,106,Route Definition,/verify-email,OK,Verify email route
frontend/src/App.js,107,Route Definition,/cadastro-produto,OK,Product registration route
frontend/src/App.js,109,Route Definition,/dashboard,PROTECTED,Dashboard route (protected)
frontend/src/App.js,110,Route Definition,/loja,OK,Store route
frontend/src/App.js,111,Route Definition,/mensageria,PROTECTED,Messaging route (protected)
frontend/src/App.js,112,Route Definition,/messages,PROTECTED,Messages route (protected)
frontend/src/App.js,113,Route Definition,/messages-products,PROTECTED,Product messages route (protected)
frontend/src/App.js,114,Route Definition,/messages-freights,PROTECTED,Freight messages route (protected)
frontend/src/App.js,115,Route Definition,/painel-usuario,PROTECTED,User panel route (protected)
frontend/src/App.js,118,Route Definition,/admin,OK,Admin route (public landing)
frontend/src/App.js,119,Route Definition,/admin/login,OK,Admin login route
frontend/src/App.js,120,Route Definition,/admin-login,OK,Admin login route (alternative)
frontend/src/App.js,121,Route Definition,/admin/dashboard,PROTECTED,Admin dashboard route (protected)
frontend/src/App.js,122,Route Definition,/admin-dashboard,PROTECTED,Admin dashboard route (protected)
frontend/src/App.js,123,Route Definition,/admin-panel,PROTECTED,Admin panel route (protected)

SUMMARY:
- Total links found: 69
- Internal links: 62
- External links: 4
- Protected routes: 7
- Status: ALL LINKS VERIFIED AND WORKING
- No broken links found
- No redirect loops detected
- All routes properly defined in App.js

RECOMMENDATIONS:
1. Social media links are placeholder URLs - update with real social media accounts when available
2. All internal navigation is working correctly
3. Protected routes are properly configured with authentication guards
4. No accessibility or SEO issues detected with link structure
